ID,Project,Subject,"Change Order #","Client CO #","Invoice #",Actions,Status,Total,"Paid Total",Balance,"Scope of Work",Exclusion,"Labor Breakdown_type","Labor Breakdown_quantity","Labor Breakdown_hours","Labor Breakdown_rate","Material Breakdown_type","Material Breakdown_quantity","Material Breakdown_unit","Material Breakdown_rate","Equipment Breakdown_type","Equipment Breakdown_quantity","Equipment Breakdown_unit","Equipment Breakdown_rate"
314,flatiron-162-5th-ave-4th-floor,"PLM to install 15lf of partition at electric closet on 4fl.",2,2,,Paid,Closed,1394,1394,0,"Provide labor and material to install 15lf of partition at electrical closet on 4fl",OT,,1,1,2250,,,,,,,,
315,flatiron-162-5th-ave-4th-floor,"PLM Build low wall around perimeter of floor for radiator",4,4,,Paid,Closed,11000,11000,0,"Provide labor and material to build low wall around perimeter of 4 floor for radiators.


250 LF X $44 
",OT,Carpenters,1,1,11000,,,,,,,,
316,flatiron-162-5th-ave-4th-floor,"Addendum #1 drawing dated 5-01-17",5,5,,Paid,Closed,15440,3250,12190,"3 floor: Mech room C305, Change wall type from H02 to J03-16lf 
4 floor: Mech room C405, Change wall type from H02 to J03-16lf
Room 421: Add 3 lf type C02 wall
F&I access doors in sheetrock ceiling rooms 319, 519, 919
Blocking in walls for added Whiteboards in rooms 305, 317, 404, 405, 406, 415, 421, 620, 621, 820, 904, 905, 907, 909, 1004, 1005, 1007, 1015, 1021   (19) 
ACT-1 Ultima-1910/prelude grid in IDF rooms on 3, 5, 9, 10th floor
110 SF x (4) floors = 440SF

4th floor-   $3,250.00
Balance of floors- $12,190.00
",,Carpenters,1,1,15440,,,,,,,,
317,gods-we-love-deliver,"Provide/preform work as indicated per JRM CO008",1,1,,Paid,Closed,3675,3675,0,"Provide/preform work as indicated per JRM CO008 (Top Rock Interiors, Inc. Proposal #17-116 Dated 3/20/17) To provide labor and material to replace the existing 2"" vent piping from the 6th floor generator day tank up to the roof with new 4"" vent piping per our meeting with DOB Chief on 2/3/17 which was reflected on AMA's updated drawing M-306 & M-503 Dated 2/3/17. This also includes the piping change of the fuel Oil Return line from the day tank to the fuel oil riser where the DOB inspectors instructed JRM at the latest site inspection 3/1/17 to run the return piping along the floor of the 6th floor to that riser so the return line is not above the vent line. This is reflected on AMA's latest drawing M-306 & M-503 dated 3/3/17. The first corrective work required the roofer to patch the roof around the new 4"" vent piping and reseal to maintain the warranty. The second corrective work will require patching of the riser shaft with either masonry and/or drywall work.  ",,Carpenters,1,1,3675,,,,,,,,
319,weill-cornell,"Soffits in upper area",2,2,,Paid,Closed,3975,3975,0,"Provide labor and material to build soffits at upper area of space per HRs direction ",OT,"Carpenters,Tapers","1,1","14,7","160,155",Material,1,,650,,,,
320,weill-cornell,"Temp Wall",21,21,,Paid,Closed,5580,5580,0,"Provide labor and material to build temp ggffggfgfgfgfwall at side walk shed.",OT,Carpenters,2,14,160,Material,1,,1100,,,,
358,hon-showroom,"Relocate Partition",8,8,,Paid,Closed,768,768,0,"Relocate partition to allow telescoping wall to open flush","Overtime ",Carpenters,1,4,160,,,,,,,,
364,nyu-langone-360-park-ave-south-6-7-8th-floor,"Per bulletin #1 drawing dated 5-9-17",3,3,,"Work Completed",Open,2648,0,2648,"                 Add sheetrock ceiling in closet 6-209A 32SF +$640.00

Change wall type A3F to B3F (add 2-ply to slab) 17 lf +$1,428.00
Change wall type E3R (2-ply one side to slab to J2R (2hr shaft wall) 10 lf +$1,980.00

4048-1400=2648
",OT,,1,1,11748,,,,,,,,
367,silverstein-120-broadway-ground-floor,"Provide Labor and Material to set up scaffolding & finish drywall work",5,5,,Paid,Closed,9125,8800,325,"Provide labor and material to upgrade the wall above the entrance way to the deck, 30' lin. × 3',,set up scaffolding above the entrance way, create a beam bottom to the soffit, 50' lin.× 6"" wide × 1' high.

No column work ",OT,"Tapers,Carpenters","1,1","18,35","150,155","Material & Scaffold",1,$,1000,,,,
371,bny-101-barclay-st-5th-floor,"Time for core corridor ceilings",11,11,,Paid,Closed,0,5370,-5370,"Time for core corridor ceilings","OT and Patches",Foreman,,,,,,,,,,,
379,bny-101-barclay-st-5th-floor,"Premium Time for core corridor ceiling",12,12,,Paid,Closed,0,5490,-5490,"Premium Time for core corridor ceilings. ","Premium Time",,,,,,,,,,,,
380,bny-101-barclay-st-5th-floor,"Provide credit .",13,13,,Paid,Closed,-790,-790,0,"Provide Credit at lobby, at wood base, we only cut out drywall installed beads and taped.

Delete:
8hr x 160 = ($1280)
5hr x 150 = ($750)     = ($2030)

Add:
4 hr carpenter to cut out base- 4Hrs X $160= $640
4 hr taping X $150= $600 


",OT,Foreman,,,,,,,,,,,
381,scotiabank-4-wfc-23rd-floor,"(Credit) TV's",2,2,,Paid,Closed,-1200,-1200,0,"Provide Credit for not opening 3 locations at televisions.

",OT,Foreman,,,,,,,,,,,
387,shvo-showroom,"Ceiling Change",2,10,,,Open,2640,2640,0,"Ceiling changes in display area ",,Foreman,,,,,,,,,,,
403,phillip-morris-120-park-ave-7th-floor,"Protection glass and stairs",1,1,,Paid,Closed,2970,2970,0,"Provide labor and material to protect glass at stair with rigid insulation and plywood. ","Overtime ",Carpenters,2,7,155,Material,1,1,800,,,,
405,esb-prebuilt-45-46-floor,"PLM Build soffits, patch and tape",6,6,,Paid,Closed,3490,3490,0,"2 Carpenters building soffits and patching walls and replacing corner beads through out in open work area 46-1. 
1 taper taping all soffits, patches and corner beads, that was an extra in open work area46-12. Work was directed by pat and dan.
","Overtime ","Tapers,Carpenters","1,2","6,7","145,155",Material,1,,450,,,,
410,bny-101-barclay-st-5th-floor,"Based on Addendum #1 drawing dated 3-24-17. Rooms N26, 27, 28 &29.",2,2,,Paid,Closed,15275.00,15275,0,"Rooms N26, 27, 28, 29
Change walls at from A3F to B3FS-  51 lf +$6,610.00
Delete Type A3F wall- 12 lf  ($1,260.00)
Change P-A (2-ply header) to P-B (4-ply header with wall below raised floor) -37lf +$2,535.00
 
Office 5N23 & 24: Change A3A to B3FS  12 lf  +$1,820.00
Change P-A to P-B  20 lf    + $1,100.00
Delete Type A3F wall- 12 lf  ($1,260.00)   
         
Office 5N03, 04, 06, 07      
Change A3A to B3FS  48 lf  +$6,280.00
Change P-A to P-B  54 lf     + $2,970.00
Delete Type A3F wall-24 lf   ($2,520.00)",OT,Foreman,,,,,,,,,,,
411,bny-101-barclay-st-5th-floor,"PAID SHUTDOWN WE HAD 7 MEN FOR 6 HOURS OF PAY",3,3,,Paid,Closed,8820,8820,0,"'-DUE TO SHUTDOWN WE HAD 7 MEN FOR 6 HOURS OF PAY
42 HR X 155=$6,510

      
-WORK 7 MEN OT TO MAINTAIN JOB SCHEDULE DUE TO JOB SHUTDOWN
49 HR X 50=  $2,450



PO RECEIVED 6510 and 2310",OT,"Carpenters,Carpenters",",",",",",",,,,,,,,
412,bny-101-barclay-st-5th-floor,"Based on Bulletin#5 Install blocking for 2 locations",5,5,,Paid,Closed,705,705,0,"Based on bulletin #5
Provide labor to install blocking in two locations.",,Carpenters,1,4,155,materials,1,,85,,,,
413,nyu-gallatin-715-719-broadway-7th-floor,"IT Room 718",1,1,,Paid,Closed,3655,3655,0,"Provide labor and material to build up wall under raised floor to re-support IT room where raised floor is being removed. ",OT,Carpenters,1,21,155,Material,1,,400,,,,
414,silverstein-120-broadway-ground-floor,"Credit for deleted work",1,1,,Paid,Closed,-6200.00,-6200,0,"Credit Deleted Work",Credit,Foreman,,,,,,,,,,,
415,silverstein-120-broadway-ground-floor,"Frame at terracotta wall for new louver",2,2,,Paid,Closed,5155.00,5155,0,"Frame at terracotta wall for new louver",ot,Foreman,,,,,,,,,,,
416,fitness-center-8-campus-dr,"Black metal works at gym open area",5,5,,Paid,Closed,32000,32000,0,"Provide labor and material to add 2000 square foot of black metal works #6139 6x6'' White at gym open area per Belle's request.",OT,Foreman,,,,,,,,,,,
425,weill-cornell,"Transfer duct",5,5,,Paid,Closed,960,960,0,"Provide labor and material to open and close walls where transfer duct is being raised up.","Overtime ",Carpenters,1,5,160,,,,,,,,
436,medical-center-harborside-plaza-2-1st-floor,"see sketch to match up work",9,9,,Paid,Closed,11550,11550,0,"          *enclose column at west side of entry area
          *furr out wall at entrance on north side due to step in concrete
          *install 2 bulkheads to accept ceilings that need to be lowered in          
            Reception and corridor B and install soffit at window
          *infill drywall under window on south west side 
          *frame and sheetrock wall at exam room #3
          *laminate wall at exam room #4
          *patch drywall opening at storage area that was opened for entry
          *patch drywall where new lines plumbing lines are being installed.
",ot,"Carpenters,Tapers","1,1","58,21","145,145",,,,,,,,
437,flushing-bank,"remove wall that was previously framed and create low wall and soffit",1,1,,Paid,Closed,1240,1240,0,"Provide labor and material  to remove wall that was previously framed and create low wall and soffit ",ot,Carpenters,1,8,130,Material,1,,200,,,,
442,phillip-morris-120-park-ave-7th-floor,"Close up wall at duct work penetrations",2,2,,Paid,Closed,1220,1220,0,"Provide Labor and Materials to close up the wall at duct work penetrations.",OT,"Carpenters,Tapers","1,1","4,3","155,150",Material,1,,150,,,,
443,groupm-build-out-3-wtc,"Bulletin 1 Credit",1,1,,Paid,Closed,-7565.00,-7565,0,"Bulletin 1:

Credit for removal of 2 mechanical ceilings on floor 15, rooms 15-W403 and 15-S408. Also provide credit for removal of one mechanical ceiling on floor 16, room 16-S707.

-$4,565.00

Electrical closet walls and 3 hollow metal doors on floor 16.

-$3,000.00

",,Foreman,,,,,,,,,,,
448,milos-125-w55st,"F/I plywood boxes onto slab.",2,013,,Paid,Closed,1230,1230,0,"Provide labor and material to F/I plywood boxes onto slab.",OT,Carpenters,1,7,160,Material,1,,200,,,,
459,bny-101-barclay-st-5th-floor,"Open up 2 ply wall for new outlets and to reframe niche",04,04,,Paid,Closed,2495,2495,0,"Provide labor to open up 2 ply wall for new outlets and to reframe niche
To accommodate for 90” TV
",ot,Carpenters,1,14,155,Material,1,,325,,,,
467,shvo-showroom,"Opening walls and CLG's",4,26,,Paid,Closed,2900,2900,0,"Provide labor and material to work O.T on floor below opening walls and CLG's 

Labor

TYPE		Total
Carpenters	1 × 7 hours × $200.00	$1,400.00
Carpenters	1 × 12 hours × $200.00	$2,400.00
Tapers	1 × 8 hours × $195.00	$1,560.00
Subtotal: $5,360.00",,"Carpenters,Carpenters,Tapers","1,1,1","7,12,8","200,200,195",Material,1,,200,,,,
468,shvo-showroom,"Re-frame ceilings at reception area",5,27,,Paid,Closed,0,0,0,"Provide labor and material to re-frame ceilings at the reception area where the light cove had to be deleted. 


TYPE		Total
Carpenters	1 × 7 hours × $150.00	$1,050.00
Subtotal: $1,050.00
Material

TYPE		Total
Material	1 × $158.00	$158.00
Subtotal: $158.00",OT,Carpenters,1,7,150,Material,1,,158,,,,
471,groupm-build-out-3-wtc,"Bulletin #3 Package B Floors 15,16,17",2,2,,Paid,Closed,-1980.00,-1980,0," Provide credit to do work associated with Bulletin#3
15th Floor =  -$540.00
16th Floor =  -$1,440.00

Work Includes:

- Removing AD3A.
- Adding partition A3.
- Adding double hollow metal doors and frames.
- Removing blocking for wood ceiling that is being removed.
- Adding 120 AC105.
- Removing Gypsum ceiling.",,Foreman,,,,,,,,,,,
472,weill-cornell,"Build additional soffits to enclose gas lines",13,13,,Paid,Closed,8602,8602,0,"Provide Labor and Material to build additional soffits to enclose gas lines at the east side space, near the entrance.",OT,Carpenters,2,28,154,,,,,,,,
484,hon-showroom,"Miscellaneous Patching in Mechanical Room",1,006,,Paid,Closed,1685,1100,585,"Provide labor and material for miscellaneous patching in the existing mechanical room.",OT,"Carpenters,Tapers","1,1","7,4","155,150",,,,,,,,
489,phillip-morris-120-park-ave-7th-floor,"Proposal 1",3,3,,Paid,Closed,1200,1200,0,"12 LF Chase wall at columns 4B and 5B
Install (2) FEC's
Delete (2) 2' x 3' - 6"" walls at same location
Delete ACT - 1 ceiling in LAN room 100 SF
Sheetrock soffit 82 SF, fascia 26 SF in men's ans women's toilets in lieu of ACT - 1 Ultima clg

Drywall = $800.00
Ceiling  = $400.00
-------------------------
 Total  = $1,200.00",OT,Foreman,,,,,,,,,,,
493,hon-showroom,"Re-layout and re frame niche and soffits.",3,22,,Paid,Closed,2890,1500,1390,"Provide labor and material to re-layout and re-frame niche and soffits to avoid sprinklers.",OT,"Carpenters,Tapers","1,1","14,1","160,0",Material,1,,650,,,,
494,hon-showroom,"Move soffit out to avoid sprinkler at pantry space.",4,31,,Paid,Closed,2890,1500,1390,"Provide labor and material to move soffit out to avoid sprinkler at pantry space.",OT,"Carpenters,Tapers","1,1","14,1","160,0",Material,1,,650,,,,
495,shvo-showroom,"Move and modify door locations to accommodate wooden frames.",6,28,,Paid,Closed,1785.024,1785,0.0239999999999,"Provide labor and material to move and modify door locations to accommodate wooden frames.",,Carpenters,3,3,160,,,,,,,,
499,esb-prebuilt-45-46-floor,"Bulletin 3",10,,,Paid,Closed,15975,15975,0,"Provide labor and material to :

Framing walls and soffits: 3 Carpenter Man Days( 21 Hours) X $155
Drywall for soffits, walls and beads: 3 Carpenter Man Days(21 Hours) X $155
Taping: 4 Taper Man Days (28 hours) X $150
Patching: 2 Man Days (14 hours) X $155
Delivery: 1 Man Day ( 7 Hours) X $155 
Van Driver: 1 Man Day ( 7 Hours) X $125
Misc O.T.: (4 Hours) X $125

Labor: $15,640
Materials: $2,346
 ","Wood Door and frames
All pantry work
All coat room work
All IT room Work
Access Panels",,,,,,,,,,,,
501,phillip-morris-120-park-ave-7th-floor,"RFI Response 14 &18",4,,,Paid,Closed,47100,47100,0,"Upgrade fascia /soffit around perimeter 
Laminate perimeter columns to align with upgraded soffits
Frame out and sheetrock additional columns ",,Foreman,,,,,,,,,,,
503,flatiron-162-5th-ave-4th-floor,"50 Linear Feet ",15,,,Paid,Closed,6800,6800,0,"Provide labor and material to install 50 linear foot of wall around stair case on 4th floor. ",Overtime,Foreman,,,,,,,,,,,
505,nyu-gallatin-715-719-broadway-7th-floor,"17-029 NYU Gallatin 715-719 Broadway 7th floor",2,,,Paid,Closed,1975,1975,0,"As Per RFI-029, additional cost for upgrading walls that were not called out originally. 

",,Carpenters,1,13,,,,,,,,,
507,nyu-gallatin-715-719-broadway-7th-floor,"Blocking for TVs",16,,,Paid,Closed,1666.35,1666,0.35,"Provide labor and material to install blocking in 2 locations for new TV's. ",OT,",","1,1","7,7","149,155",,,,,,,,
508,weill-cornell,"Installation of signbad",9,9,,Paid,Closed,550,550,0,"Carpentry support needed for installation of signband.

10 Carpenters PT",,"Carpenters,Foreman","1,","10,",",",,,,,,,,
509,weill-cornell,"FEC Installation",57,16,,Paid,Closed,750,750,0,"Installation of FEC'S as per Bulletin #8",,"Carpenters,Tapers","1,1","10,4",",",,,,,,,,
511,weill-cornell,"Stud wall to be hung from the slab above, down to the bottom of the beam.",64,19,,Paid,Closed,8243,8243,0,"Revised price of with inclusion of soffit and Sheetrock to laminate beams:

Stud wall to be hung from the slab above, down to the bottom of the beam. Soffit ceiling tight to underside of the beam and extending back to the bathroom/closet walls. New all and soffit ceiling to painted white.

2 carpenters 7 hours each
1 taper 8 hours

Stud wall to be hung from slab above, down to height of the top of the duct work. Align with the column furring. New wall and adjacent column furring above ceiling to be painted black.

2 carpenters 7 hours each
1 Taper 4 hours",,Carpenters,,,,,,,,,,,
512,weill-cornell,"Acoustic Panels - Baux Ceiling Tiles",63,18,,Paid,Closed,13474,13474,0,"Scope of work: 

262 Panels at 3 Panels per hour = 88 Hours 

88 Hours X $205 =  $18,040 

Ceiling Material Inc. shipping and handling = $6,360",,,,,,,,,,,,,
513,weill-cornell,"Revised Access for Sutton Place ",72,19,,Paid,Closed,1288,1288,0,"Revised Access for Sutton Place Management: Framing had to be dismantled to allow for ductwork to be shifted and drywall needed to be replaced due to damage by others. This is a backcharge to the client because building engineer needed access to existing plumbing lines. ",,Carpenters,1,7,160,,,,,,,,
514,weill-cornell,"Pitcon Reveal",77,21,,Paid,Closed,735,735,0,"Pitcon Reveal",,"Carpenters,Tapers","1,1","7,7",",",,,,,,,,
521,groupm-build-out-3-wtc,"Bulletin #5 dated 8.4.17",3,3,,Paid,Closed,4294,4294,0,"Add 40 Linear Foot of AH3 Wall",Overtime,Foreman,,,,"AH3 Wall",40,LF,,,,,
534,24hr-fitness-scarsdale,"Install Collar Tie",1,1,,Paid,Closed,2600,2600,0,"Provide labor and material to install(1) 30''collar tie @front entrance area of high ceiling",,Carpenters,2,7,,,,,,,,,
538,17-040-nyu-langone-1-park-ave-6th-10th-floor,"NYU Langone 1 Park Avenue CO#1",1,1,,Paid,Closed,15550,15550,0,"Provide Labor and Material to build out temporary tunnel, temporary Sheetrock ceiling and install (3) HM Doors and Frames only.

Carpentry:                $12,750.00
Taping:                     $3,150.00
HM Doors:               $1,500.00
Material:                  $1,300.00 ",,Carpenters,,,,,,,,,,,
539,phillip-morris-120-park-ave-7th-floor,"Patching in Toilets",5,5,,Paid,Closed,2660,2660,0,"Patching in toilets per electrical and plumbing plans.

Carpentry: $2,310.00
Material:    $350.00",,Carpenters,,,,,,,,,,,
540,phillip-morris-120-park-ave-7th-floor,"Credit For Rulon",6,5,,Paid,Closed,-38040,-38040,0,"Credit For Rulon ",,Foreman,,,,,,,,,,,
541,phillip-morris-120-park-ave-7th-floor,"Bulletin 2 ",7,7,,Paid,Closed,27000,27000,0,"    SCOPE OF WORK:   Bulletin #2 Drawings dated 7-21-17 
   10 LF Column enclosures with type F21 wall (10)
   Type F21 wall added at Room A03, 10, 11   20 lf
           
           Detail 8/A-801: 
           Change light cove detail to sheetrock with break metal angle
                                                 (4-5 week lead time)     
",,Foreman,,,,,,,,,,,
549,bny-101-barclay-st-5th-floor,Credit,10,10,,Paid,Closed,-2470,-2470,0,"Credit ",,Foreman,,,,,,,,,,,
551,17-043-foot-locker-1460-broadway,"Foot Locker 1460 Broadway",1,1,,Paid,Closed,11985,11985,0,"Cellar, Ground, 2nd, 3rd Floors",,Carpenters,,,,,,,,,,,
554,nyu-langone-360-park-ave-south-6-7-8th-floor,"Drywall & Ceiling",7,7,,Paid,Closed,80000,80000,0,"Drywall scope listed on leveling sheet, notes ceiling scope on leveling sheet is not included",,Carpenters,,,,,,,,,,,
555,milos-125-w55st,"10 Feet of wall",18,18,,Paid,Closed,2520,2520,0,"Provide labor and material to build out column at pipes on North East Corner of catwalk,",,Carpenters,2,7,160,,,,,,,,
559,nyu-langone-360-park-ave-south-6-7-8th-floor,"NYU Langone 1 Park Avenue CO#8",8,8,,Paid,Closed,5580,5580,0,"Seal & firestop existing wall at mechanical rooms on each floor. Install acoustical seals on existing door to mechanical room and toilets note #3 (6). Add 8LF to wall at room 8-260 per note #7.",,Foreman,,,,,,,,,,,
563,bny-101-barclay-st-5th-floor,"17th Floor Mothers Room",14,14,,Paid,Closed,4500,4500,0,"Provide labor & material toi cut in new 3x8 H.M x H.M, cut out and reuse H.M x H.M, patch and return air grill & patch approx 100 SF of 1x1 ceilings. 

Foreman: 4hrs @ $165.00 = $660.00
Carpentry: 14hrs @ $160.00 = $2240.00
Driver & Material: =  $1600
-Z Bar
-Tile
-Splines
- 2 ft T Splines
- Drywall
- Framing",,Carpenters,,,,,,,,,,,
564,flushing-bank,"Add walls, H.M doors, Light Fixtures and Plywood",2,2,,Paid,Closed,5120,5120,0,"1. Add walls on first floor and basement at storage room   - 20 Linear Foot of Type 1 Wall =  $2,400

2. Add 1 new H.M x H.M  = $500.00

3. Modify framing at light fixtures at entrance  -  1 Carpenter 4 hrs @ $160.00 = $640.00

4. Add plywood under rigid insulation at canopy -  2 Carpenter 4 hrs each @ $160.00 plus $300.00 material = $1,580

Ceiling Reconfiguration no change",,Foreman,,,,,,,,,,,
565,nyu-langone-360-park-ave-south-6-7-8th-floor,"Blocking in existing wall for TVs. Wall type change",9,9,,Paid,Closed,2648,2648,0,"Blocking in existing wall for TV's. Wall type change ",,Foreman,,,,,,,,,,,
569,17-040-nyu-langone-1-park-ave-6th-10th-floor,"NYU Langone 1 Park Avenue CO#2",2,17040,,Paid,Closed,2100,2100,0,"Per IFC drawing dated 7-28-17

Delete FEC and double wall: -$400    

Modify partition and door @ existing mechanical room 10-298 per note 1 & 4: $1600 (7 Carpenter Hours and 3 Taper Hours)
Note 5: Door to stairway B to be FPSC (install only): $900  
",,Foreman,,,,,,,,,,,
572,17-044-jwt-466-lexington-3-floor,"Patch Acoustic Ceiling",1,17044,,Paid,Closed,4500,4500,0,"Patch acoustical ceiling at pendant light removal
         Cut acoustical ceiling tiles for downlights (8)
         (2) Blowout patches
                 All work on overtime
",,Foreman,,,,,,,,,,,
574,shvo-showroom,"Reframe soffits and order additional coves",10,49,,Paid,Closed,10000,7190,2810,"Provide Labor and material to reframe soffits and order additional radius coves @bar area, original detail was square

Tapers	1 × 21 hours × $160.00	$3,360.00
Carpenters	1 × 28 hours × $165.00	$4,620.00
Material		$6,400.00
Subtotal: $14,380.00",,"Tapers,Carpenters","1,1","21,28","160,165",,,,,,,,
576,shvo-showroom,"Reframe and sheet column due to architect change",12,51,,Paid,Closed,1190,1190,0,"Provide labor and material to reframe and sheetrock bar area nibs on north side and foyer area on west side due to change from architect

abor Breakdown
Labor Type	Headcount	Hours (per person)	Rate (per hour)	
1	


1
hrs

10
$

165
2	


1
hrs

5
$

160




$2815",,"Carpenters,Tapers","1,1","10,5","165,160",,,,,,,,
577,shvo-showroom,"Install 2 leg pitcon",13,52,,Paid,Closed,3260.01528,3260,0.0152800000001,"Provide Labor and material to cut in 2'' single leg pitcon at P Room per B.M Request.",,"Carpenters,Tapers","1,1","10,6","165,160",,,,,,,,
578,shvo-showroom,"Create new Light Cove",14,17032,,Paid,Closed,4646,4646,0,"Provide labor and material to create new light pocket at Display area, this was not on drawings.",,",","1,1","21,14","165,160",,,,,,,,
579,shvo-showroom,"Reframe Openings",15,53,,Paid,Closed,2656.00104,2656,0.0010400000001,"Provide Labor and Material to reframe Door Frames at vestibule south of display room to it being incorrectly framed by original drywall company",,Carpenters,1,14,165,,,,,,,,
580,shvo-showroom,"Reframe Lights and Ceilings",16,17032,,Paid,Closed,1815,2090,-275,"Provide Labor and material to reframe ceiling at gallery corridor due to wrong sizes given us from B.M",,Carpenters,1,11,165,,,,,,,,
581,shvo-showroom,"Frame Opening",17,54,,Paid,Closed,785.00004,785,4.00000000127E-5,"Provide labor to frame doorway to closet in gallery corridor",,Carpenters,1,4,165,,,,,,,,
582,shvo-showroom,"Reframe Header",18,55,,Paid,Closed,795.00366,795,0.00365999999997,"Provide Labor and material header to 7-10'' between gallery and foyer",,Foreman,1,4,165,,,,,,,,
583,shvo-showroom,"Reframe Coves on Both Sides",19,56,,Paid,Closed,955.62,955,0.62,"Provide Labor and Material to reframe coves at east and west side of reception area due to changes from duct work conflicts",,",","1,1","12,16","160,165",,,,,,,,
584,shvo-showroom,"Build New Column",20,57,,Paid,Closed,1790.0043,1790,0.00430000000006,"Provide Labor and Material to rebuild column at reception area and install pit.con around entire column",,"Tapers,Carpenters","1,1","3,6","160,165",,,,,,,,
585,shvo-showroom,"Metal Closure Pan",21,58,,Paid,Closed,4470.03279,2235,2235.03279,"Provide Labor and Material to install aluminium Fascia Pan at north and south side of gallery corridor. original Framing of ceiling included. This which was removed and later reintroduced after Drywall was complete.",,Carpenters,2,9,205,,,,,,,,
586,shvo-showroom,"Building New Columns and Fascia Soffit",22,17032,,Paid,Closed,3805.02248,3805,0.0224800000001,"Provide Labor and Material to Build new columns Fascia and soffit between elevator lobby and reception area",,"Tapers,Carpenters","1,1","7,14","160,165",,,,,,,,
